"Product ID";Imagen;Nombre;Referencia;Categoría;"Precio (imp. excl.)";"Precio (imp. incl.)";Cantidad;Estado;Posición
9720;https://subirananadons.com/20495/vajilla-foodie-first-meal-elphee-azul.jpg;"Vajilla Foodie First Meal Elphee Azul";1596542;"Paltos y cubiertos";20.619835;24.95;0;1
9721;https://subirananadons.com/20492/vajilla-foodie-first-meal-happy-clouds-rosa.jpg;"Vajilla Foodie First Meal Happy Clouds Rosa";1596571;"Paltos y cubiertos";20.619835;24.95;0;1
9733;https://subirananadons.com/20560/libro-de-actividades-tiny-farm.jpg;"Libro de actividades Tiny Farm";4353017;Varios;20.619835;24.95;0;1
9677;https://subirananadons.com/20301/pack-2-baberos-silicona-mouse-wheat-yellow-mix.jpg;"Pack 2 baberos silicona Mouse Wheat Yellow Mix";LW14157;Baberos;20.661157;25;0;1
9678;https://subirananadons.com/20303/pack-2-baberos-silicona-rabbit-mint-mix.jpg;"Pack 2 baberos silicona Rabbit Mint Mix";LW14157;Baberos;20.661157;25;0;1
9679;https://subirananadons.com/20305/pack-2-baberos-silicona-dino-dark-sandy-mix.jpg;"Pack 2 baberos silicona Dino Dark Sandy Mix";LW14157;Baberos;20.661157;25;0;1
9805;https://subirananadons.com/20967/cesta-starry-night.jpg;"Cesta Starry Night";"B46 904 01";"Luces y decoración";20.661157;25;0;1
9519;https://subirananadons.com/19595/muselina-bambú-tortugas-tejanas.jpg;"Muselina bambú Tortugas Tejanas";MB.TO.01;Muselinas;21.280992;25.75;-1;1
9430;https://subirananadons.com/19156/muselina-bambú-ginko-verde.jpg;"Muselina bambú Ginko Verde";AB.CM.14;Muselinas;21.363636;25.85;-2;1
9431;https://subirananadons.com/19158/muselina-bambú-ginko-gris.jpg;"Muselina bambú Ginko Gris";AB.CM.14;Muselinas;21.363636;25.85;0;1
9738;https://subirananadons.com/20584/doudou-sheppy-arena.jpg;"Doudou Sheppy Arena";4353299;"Doudous y peluches";21.446281;25.95;0;1
9739;https://subirananadons.com/20588/doudou-pigee-rosa.jpg;"Doudou Pigee Rosa";4353291;"Doudous y peluches";21.446281;25.95;0;1
9551;https://subirananadons.com/19811/bajera-60-hojas.jpg;"Bajera 60 Hojas";B.260.CT.17;Sábanas;21.487603;26;-1;1
